id,firstname,lastname,email,employee_type
100,Cissiee,Rugen,Cissiee.Rugen@company.com,part-time
101,Sonni,Baudin,Sonni.Baudin@company.com,full-time
102,Kara-Lynn,Dorine,Kara-Lynn.Dorine@company.com,part-time
103,Claresta,Grosz,Claresta.Grosz@company.com,part-time
104,Konstance,Carri,Konstance.Carri@company.com,full-time
105,Sashenka,Tacye,Sashenka.Tacye@company.com,full-time
106,Jacenta,Gahl,Jacenta.Gahl@company.com,part-time
107,Drucie,Bebe,Drucie.Bebe@company.com,full-time
108,Odessa,Zuzana,Odessa.Zuzana@company.com,part-time
109,Stephie,Dari.Stephie@company.com,part-time
110,Jobi,Lattie,Jobi.Lattie@company.com,contractor
111,Siana,Soneson,Siana.Soneson@company.com,full-time
112,Joane,Jacqui,Joane.Jacqui@company.com,full-time
113,Gusty,Screens,Gusty.Screens@company.com,part-time
114,Goldie,Kinnard,Goldie.Kinnard@company.com,contractor
115,Deedee,Schenck,Deedee.Schenck@company.com,part-time
116,Clementine,Emanuel,Clementine.Emanuel@company.com,full-time
117,Nikki,Colp,Nikki.Colp@company.com,part-time
118,Berget,Richers,Berget.Richers@company.com,part-time
119,Kittie,Urias,Kittie.Urias@company.com,part-time
120,Maryellen,Ailyn,Maryellen.Ailyn@company.com,full-time
121,Nessie,Bevin,Nessie.Bevin@company.com,full-time
122,Addia,Geffner,Addia.Geffner@company.com,full-time
123,Sharlene,Persse,Sharlene.Persse@company.com,full-time
124,Valera,Beebe,Valera.Beebe@company.com,part-time
125,Gianina,Primalia,Gianina.Primalia@company.com,contractor
126,Nelle,Shanley,Nelle.Shanley@company.com,full-time
127,Britni,Noman,Britni.Noman@company.com,contractor
128,Winifred,Baylor,Winifred.Baylor@company.com,contractor
129,Donnie,Lalitta,Donnie.Lalitta@company.com,contractor
130,Carilyn,Seagraves,Carilyn.Seagraves@company.com,contractor
131,Katleen,Hermes,Katleen.Hermes@company.com,full-time
132,Ermengarde,Sandye,Ermengarde.Sandye@company.com,part-time
133,Caryl,Henebry,Caryl.Henebry@company.com,full-time
134,Deloria,Thar,Deloria.Thar@company.com,part-time
135,Yolane,Tristram,Yolane.Tristram@company.com,full-time
136,Bibby,Salvidor,Bibby.Salvidor@company.com,contractor
137,Hannis,Sprage,Hannis.Sprage@company.com,part-time
138,Brietta,Gaulin,Brietta.Gaulin@company.com,contractor
